Microsoft (R) COFF/PE Dumper Version 8.00.50727.42
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ntoskrnl.exe
        165   72 0016F425 ExRaiseDatatypeMisalignment
        166   73 00005528 ExRaiseException
        167   74 0016F62B ExRaiseHardError
        168   75 000055E6 ExRaiseStatus
         10   76 0016C777 ExReInitializeRundownProtection
        169   77 00037608 ExRegisterCallback
        170   78 0001D634 ExReinitializeResourceLite
         11   79 000042E7 ExReleaseFastMutexUnsafe
        171   7A 00017036 ExReleaseResourceForThreadLite
         12   7B 00004650 ExReleaseResourceLite
         13   7C 00092F88 ExReleaseRundownProtection
         14   7D 0016C7F3 ExReleaseRundownProtectionEx
         15   7E 000AD8AC ExRundownCompleted
        172   7F 0008A5A0 ExSemaphoreObjectType
        173   80 0001798D ExSetResourceOwnerPointer
        174   81 0016EAE7 ExSetTimerResolution
        175   82 000B9A74 ExSystemExceptionFilter
        176   83 0002BC8D ExSystemTimeToLocalTime
        177   84 0006EF4A ExUnregisterCallback
        178   85 0010678D ExUuidCreate
        179   86 00038431 ExVerifySuite
         16   87 000A43AD ExWaitForRundownProtectionRelease
        180   88 0008AA40 ExWindowStationObjectType
         17   89 000A9B65 ExfAcquirePushLockExclusive
         18   8A 000A9AF1 ExfAcquirePushLockShared
         19   8B 0000BE10 ExfInterlockedAddUlong
         20   8C 0000BECC ExfInterlockedCompareExchange64
         21   8D 0000BE1C ExfInterlockedInsertHeadList
         22   8E 0000BE34 ExfInterlockedInsertTailList
         23   8F 0000BE68 ExfInterlockedPopEntryList
         24   90 0000BE7C ExfInterlockedPushEntryList
         25   91 0000BE50 ExfInterlockedRemoveHeadList
         26   92 000A9A2E ExfReleasePushLock
         27   93 0000BE94 Exfi386InterlockedDecrementLong
         28   94 0000BEA0 Exfi386InterlockedExchangeUlong
         29   95 0000BE88 Exfi386InterlockedIncrementLong
        181   96 00004416 Exi386InterlockedDecrementLong
        182   97 00004426 Exi386InterlockedExchangeUlong
        183   98 00004406 Exi386InterlockedIncrementLong
        184   99 0009A464 FsRtlAcquireFileExclusive
        185   9A 0001C976 FsRtlAddLargeMcbEntry
        186   9B 000548F7 FsRtlAddMcbEntry
        187   9C 000BB020 FsRtlAddToTunnelCache
        188   9D 00023A0A FsRtlAllocateFileLock
        189   9E 00054E8F FsRtlAllocatePool
        190   9F 00054EC6 FsRtlAllocatePoolWithQuota
        191   A0 00054F32 FsRtlAllocatePoolWithQuotaTag
        192   A1 00054EFD FsRtlAllocatePoolWithTag
        193   A2 0013A6D9 FsRtlAllocateResource
        194   A3 00098791 FsRtlAreNamesEqual
        195   A4 000E586C FsRtlBalanceReads
        196   A5 0002CC29 FsRtlCheckLockForReadAccess
        197   A6 0001B93A FsRtlCheckLockForWriteAccess
        198   A7 0001193E FsRtlCheckOplock
        199   A8 00139C3F FsRtlCopyRead
        200   A9 00139F0A FsRtlCopyWrite
        201   AA 00055841 FsRtlCreateSectionForDataScan
        202   AB 00098811 FsRtlCurrentBatchOplock
        203   AC 00107E8C FsRtlDeleteKeyFromTunnelCache
        204   AD 00139476 FsRtlDeleteTunnelCache
        205   AE 0013A979 FsRtlDeregisterUncProvider
        206   AF 0013AA0E FsRtlDissectDbcs
        207   B0 0009F4DD FsRtlDissectName
        208   B1 0013AAB7 FsRtlDoesDbcsContainWildCards
        209   B2 000996D3 FsRtlDoesNameContainWildCards
        210   B3 0002D4C7 FsRtlFastCheckLockForRead
        211   B4 0002D63F FsRtlFastCheckLockForWrite
        212   B5 0001FFCA FsRtlFastUnlockAll
        213   B6 00054E23 FsRtlFastUnlockAllByKey
        214   B7 0002CE8B FsRtlFastUnlockSingle
        215   B8 000BA9FA FsRtlFindInTunnelCache
        216   B9 00023A9B FsRtlFreeFileLock
        217   BA 0009B6E5 FsRtlGetFileSize
        218   BB 0002AD69 FsRtlGetNextFileLock
        219   BC 00018D62 FsRtlGetNextLargeMcbEntry
        220   BD 000546DC FsRtlGetNextMcbEntry
        221   BE 000544EA FsRtlIncrementCcFastReadNoWait
        222   BF 00139C29 FsRtlIncrementCcFastReadNotPossible
        223   C0 000544FB FsRtlIncrementCcFastReadResourceMiss
        224   C1 00099299 FsRtlIncrementCcFastReadWait
        225   C2 00019ED2 FsRtlInitializeFileLock
        226   C3 0001D494 FsRtlInitializeLargeMcb
        227   C4 0013A6AF FsRtlInitializeMcb
        228   C5 0009F52C FsRtlInitializeOplock
        229   C6 000E582B FsRtlInitializeTunnelCache
        230   C7 00055B6A FsRtlInsertPerFileObjectContext
        231   C8 0002DA58 FsRtlInsertPerStreamContext
        232   C9 0013AB2B FsRtlIsDbcsInExpression
        233   CA 000BAD80 FsRtlIsFatDbcsLegal
        234   CB 0013AF8C FsRtlIsHpfsDbcsLegal
        235   CC 0009C57B FsRtlIsNameInExpression
        236   CD 00054E56 FsRtlIsNtstatusExpected
        237   CE 00055B4B FsRtlIsPagingFile
        238   CF 0002A7AB FsRtlIsTotalDeviceFailure
        239   D0 000006D4 FsRtlLegalAnsiCharacterArray
        240   D1 00015437 FsRtlLookupLargeMcbEntry
        241   D2 0001CC0B FsRtlLookupLastLargeMcbEntry
        242   D3 00054593 FsRtlLookupLastLargeMcbEntryAndIndex
        243   D4 00054681 FsRtlLookupLastMcbEntry
        244   D5 00054986 FsRtlLookupMcbEntry
        245   D6 00055A07 FsRtlLookupPerFileObjectContext
        246   D7 0001AF62 FsRtlLookupPerStreamContextInternal
        247   D8 001396C7 FsRtlMdlRead
        248   D9 0005450C FsRtlMdlReadComplete
        249   DA 000544BA FsRtlMdlReadCompleteDev
        250   DB 001394D3 FsRtlMdlReadDev
        251   DC 0013A62B FsRtlMdlWriteComplete
        252   DD 00139BD7 FsRtlMdlWriteCompleteDev
        253   DE 00054F6C FsRtlNormalizeNtstatus
        254   DF 0013B10F FsRtlNotifyChangeDirectory
        255   E0 000BA621 FsRtlNotifyCleanup
        256   E1 000BA25C FsRtlNotifyFilterChangeDirectory
        257   E2 000A0667 FsRtlNotifyFilterReportChange
        258   E3 0013B147 FsRtlNotifyFullChangeDirectory
        259   E4 0013B1BF FsRtlNotifyFullReportChange
        260   E5 000C4F82 FsRtlNotifyInitializeSync
        261   E6 0013B183 FsRtlNotifyReportChange
        262   E7 000C4F5E FsRtlNotifyUninitializeSync
        263   E8 000C90CF FsRtlNotifyVolumeEvent
        264   E9 0001CCC6 FsRtlNumberOfRunsInLargeMcb
        265   EA 000546C7 FsRtlNumberOfRunsInMcb
        266   EB 00103E40 FsRtlOplockFsctrl
        267   EC 000931C7 FsRtlOplockIsFastIoPossible
        268   ED 00055D4F FsRtlPostPagingFileStackOverflow
        269   EE 00055D2C FsRtlPostStackOverflow
        270   EF 00139B4F FsRtlPrepareMdlWrite
        271   F0 0013974F FsRtlPrepareMdlWriteDev
        272   F1 0002CB48 FsRtlPrivateLock
        273   F2 00028746 FsRtlProcessFileLock
        274   F3 0003B5A3 FsRtlRegisterFileSystemFilterCallbacks
        275   F4 00101815 FsRtlRegisterUncProvider
        276   F5 0009A32B FsRtlReleaseFile
        277   F6 0001DC4F FsRtlRemoveLargeMcbEntry
        278   F7 00054920 FsRtlRemoveMcbEntry
        279   F8 00055AA0 FsRtlRemovePerFileObjectContext
        280   F9 0003F276 FsRtlRemovePerStreamContext
        281   FA 0003E5DD FsRtlResetLargeMcb
        282   FB 0005474B FsRtlSplitLargeMcb
        283   FC 0013A71B FsRtlSyncVolumes
        284   FD 00099EA4 FsRtlTeardownPerStreamContexts
        285   FE 0001CCF0 FsRtlTruncateLargeMcb
        286   FF 000548D4 FsRtlTruncateMcb
        287  100 00019002 FsRtlUninitializeFileLock
        288  101 0001D6C9 FsRtlUninitializeLargeMcb
        289  102 0013A6C4 FsRtlUninitializeMcb
        290  103 0001D696 FsRtlUninitializeOplock
        291  104 00074FB8 HalDispatchTable
         30  105 00037AF5 HalExamineMBR
        292  106 00075010 HalPrivateDispatchTable
        293  107 00037DB8 HeadlessDispatch
        294  108 00056163 InbvAcquireDisplayOwnership
        295  109 0003503F InbvCheckDisplayOwnership
        296  10A 00037E10 InbvDisplayString
        297  10B 000379AF InbvEnableBootDriver
        298  10C 00037BD1 InbvEnableDisplayString
        299  10D 0003B76E InbvInstallDisplayStringFilter
        300  10E 00055F86 InbvIsBootDriverInstalled
        301  10F 000368FC InbvNotifyDisplayOwnershipLost
        302  110 00055F97 InbvResetDisplay
        303  111 000561C3 InbvSetScrollRegion
        304  112 000560A7 InbvSetTextColor
        305  113 0005601B InbvSolidColorFill
        306  114 00080A00 InitSafeBootMode
         31  115 0000BEC0 InterlockedCompareExchange
         32  116 0000BEB4 InterlockedDecrement
         33  117 0000BEA0 InterlockedExchange
         34  118 0000BF04 InterlockedExchangeAdd
         35  119 0000BEA8 InterlockedIncrement
         36  11A 0000B0D2 InterlockedPopEntrySList
         37  11B 0000B0F2 InterlockedPushEntrySList
        307  11C 0000F429 IoAcquireCancelSpinLock
        308  11D 0002B675 IoAcquireRemoveLockEx
        309  11E 0000F429 IoAcquireVpbSpinLock
        310  11F 00080EF0 IoAdapterObjectType
        311  120 0005625F IoAllocateAdapterChannel
        312  121 0003330C IoAllocateController
        313  122 0003756D IoAllocateDriverObjectExtension
        314  123 00034C86 IoAllocateErrorLogEntry
        315  124 0000F578 IoAllocateIrp
        316  125 00015719 IoAllocateMdl
        317  126 000259CE IoAllocateWorkItem
         38  127 000E877B IoAssignDriveLetters
        318  128 001417B1 IoAssignResources
        319  129 0013DFDB IoAttachDevice
        320  12A 0005706C IoAttachDeviceByPointer
        321  12B 00038192 IoAttachDeviceToDeviceStack
        322  12C 00037C7B IoAttachDeviceToDeviceStackSafe
        323  12D 0002DC49 IoBuildAsynchronousFsdRequest
        324  12E 00025889 IoBuildDeviceIoControlRequest
        325  12F 0001585E IoBuildPartialMdl
        326  130 0002AAD4 IoBuildSynchronousFsdRequest
        327  131 00056B2A IoCallDriver
        328  132 0013DD81 IoCancelFileOpen
        329  133 0002AB35 IoCancelIrp
        330  134 0013CEFB IoCheckDesiredAccess
        331  135 000B94B6 IoCheckEaBufferValidity
        332  136 00109121 IoCheckFunctionAccess
        333  137 000562B7 IoCheckQuerySetFileInformation
        334  138 000562FF IoCheckQuerySetVolumeInformation
        335  139 0013CF3C IoCheckQuotaBufferValidity
        336  13A 0009958B IoCheckShareAccess
        337  13B 00056B49 IoCompleteRequest
        338  13C 000EB8E8 IoConnectInterrupt
        339  13D 000EF7DC IoCreateController
        340  13E 000C84A5 IoCreateDevice
        341  13F 0013CC53 IoCreateDisk
        342  140 000FD783 IoCreateDriver
        343  141 00098AA3 IoCreateFile
        344  142 000A2725 IoCreateFileSpecifyDeviceObjectHint
        345  143 000E0D9C IoCreateNotificationEvent
        346  144 0013DFA7 IoCreateStreamFileObject
        347  145 00056357 IoCreateStreamFileObjectEx
        348  146 00099C7E IoCreateStreamFileObjectLite
        349  147 000D274D IoCreateSymbolicLink
        350  148 000F24D9 IoCreateSynchronizationEvent
        351  149 000D305E IoCreateUnprotectedSymbolicLink
        352  14A 000385CF IoCsqInitialize
        353  14B 00035F1B IoCsqInsertIrp
        354  14C 00057123 IoCsqRemoveIrp
        355  14D 0000DCC7 IoCsqRemoveNextIrp
        356  14E 000AB824 IoDeleteController
        357  14F 00031300 IoDeleteDevice
        358  150 000AB824 IoDeleteDriver
        359  151 000EE251 IoDeleteSymbolicLink
        360  152 000564B3 IoDetachDevice
        361  153 00080ED4 IoDeviceHandlerObjectSize
        362  154 00080EDC IoDeviceHandlerObjectType
        363  155 00080EE4 IoDeviceObjectType
        364  156 000F0B08 IoDisconnectInterrupt
        365  157 00080EE0 IoDriverObjectType
        366  158 0013D232 IoEnqueueIrp
        367  159 0003C9D4 IoEnumerateDeviceObjectList
        368  15A 0013DF09 IoEnumerateRegisteredFiltersList
        369  15B 0013D277 IoFastQueryNetworkAttributes
        370  15C 00080ED8 IoFileObjectType
        371  15D 000F18DB IoForwardAndCatchIrp
        372  15E 000F18DB IoForwardIrpSynchronously
        373  15F 00033355 IoFreeController
        374  160 00056EC9 IoFreeErrorLogEntry
        375  161 00011582 IoFreeIrp
        376  162 000156C3 IoFreeMdl
        377  163 00025A01 IoFreeWorkItem
        378  164 00011445 IoGetAttachedDevice
        379  165 00025C69 IoGetAttachedDeviceReference
        380  166 0001496F IoGetBaseFileSystemDeviceObject
        381  167 000F8E17 IoGetBootDiskInformation
        382  168 000D2540 IoGetConfigurationInformation
        383  169 0000D64F IoGetCurrentProcess
        384  16A 00037C38 IoGetDeviceAttachmentBaseRef
        385  16B 00141AC9 IoGetDeviceInterfaceAlias
        386  16C 000D998C IoGetDeviceInterfaces
        387  16D 000B942D IoGetDeviceObjectPointer
        388  16E 000BFEA1 IoGetDeviceProperty
        389  16F 0005654B IoGetDeviceToVerify
        390  170 00056C15 IoGetDiskDeviceObject
        391  171 000EFFE6 IoGetDmaAdapter
        392  172 0003E231 IoGetDriverObjectExtension
        393  173 00098775 IoGetFileObjectGenericMapping
        394  174 00056570 IoGetInitialStack
        395  175 00035ED3 IoGetLowerDeviceObject
        396  176 000113BF IoGetRelatedDeviceObject
        397  177 0001FF1D IoGetRequestorProcess
        398  178 00024DE8 IoGetRequestorProcessId
        399  179 0002252D IoGetRequestorSessionId
        400  17A 000045CE IoGetStackLimits
        401  17B 00011416 IoGetTopLevelIrp
        402  17C 0002C0C3 IoInitializeIrp
        403  17D 000DC60B IoInitializeRemoveLockEx
        404  17E 000EB881 IoInitializeTimer
        405  17F 00032411 IoInvalidateDeviceRelations
        406  180 00035623 IoInvalidateDeviceState
        407  181 0001C13E IoIsFileOriginRemote
        408  182 00011752 IoIsOperationSynchronous
        409  183 0002B5B6 IoIsSystemThread
        410  184 0013D36C IoIsValidNameGraftingBuffer
        411  185 000F0156 IoIsWdmVersionAvailable
        412  186 0002C25E IoMakeAssociatedIrp
        413  187 000E0F0C IoOpenDeviceInterfaceRegistryKey
        414  188 000D3ED5 IoOpenDeviceRegistryKey
        415  189 00022C2F IoPageRead
        416  18A 001426AE IoPnPDeliverServicePowerNotification
        417  18B 000DA01F IoQueryDeviceDescription
        418  18C 0013DE93 IoQueryFileDosDeviceName
        419  18D 000AA4CA IoQueryFileInformation
        420  18E 000E3F24 IoQueryVolumeInformation
        421  18F 00025991 IoQueueThreadIrp
        422  190 0000D2FB IoQueueWorkItem
        423  191 00056676 IoRaiseHardError
        424  192 0005676B IoRaiseInformationalHardError
        425  193 0003B6D3 IoReadDiskSignature
        426  194 00080ED0 IoReadOperationCount
         39  195 000E607B IoReadPartitionTable
        427  196 000F8DB7 IoReadPartitionTableEx
        428  197 00080EC0 IoReadTransferCount
        429  198 000F2579 IoRegisterBootDriverReinitialization
        430  199 000D1FD6 IoRegisterDeviceInterface
        431  19A 000F1E95 IoRegisterDriverReinitialization
        432  19B 000D2D6B IoRegisterFileSystem
        433  19C 000FB018 IoRegisterFsRegistrationChange
        434  19D 0013D89F IoRegisterLastChanceShutdownNotification
        435  19E 000D9B16 IoRegisterPlugPlayNotification
        436  19F 000DC888 IoRegisterShutdownNotification
        437  1A0 0000F442 IoReleaseCancelSpinLock
        438  1A1 00141752 IoReleaseRemoveLockAndWaitEx
        439  1A2 0002B6AE IoReleaseRemoveLockEx
        440  1A3 0000F442 IoReleaseVpbSpinLock
        441  1A4 00098C6B IoRemoveShareAccess
        442  1A5 000FA46A IoReportDetectedDevice
        443  1A6 001CBF97 IoReportHalResourceUsage
        444  1A7 000EA515 IoReportResourceForDetection
        445  1A8 000EE780 IoReportResourceUsage
        446  1A9 001428DF IoReportTargetDeviceChange
        447  1AA 000313CC IoReportTargetDeviceChangeAsynchronous
        448  1AB 0005A0A9 IoRequestDeviceEject
        449  1AC 000155CB IoReuseIrp
        450  1AD 00038479 IoSetCompletionRoutineEx
        451  1AE 000EB049 IoSetDeviceInterfaceState
        452  1AF 000569CF IoSetDeviceToVerify
        453  1B0 00040F3C IoSetFileOrigin
        454  1B1 00033227 IoSetHardErrorOrVerifyDevice
        455  1B2 0013D8FB IoSetInformation
        456  1B3 0009FE2A IoSetIoCompletion
         40  1B4 0013B4A5 IoSetPartitionInformation
        457  1B5 0013CCAA IoSetPartitionInformationEx
        458  1B6 00098CC7 IoSetShareAccess
        459  1B7 00038817 IoSetStartIoAttributes
        460  1B8 00056C80 IoSetSystemPartition
        461  1B9 00011A39 IoSetThreadHardErrorMode
        462  1BA 00011428 IoSetTopLevelIrp
        463  1BB 0000CECD IoStartNextPacket
        464  1BC 00056A97 IoStartNextPacketByKey
        465  1BD 0000CE45 IoStartPacket
        466  1BE 00033248 IoStartTimer
        467  1BF 0007A428 IoStatisticsLock
        468  1C0 00056AF1 IoStopTimer
        469  1C1 000E0E13 IoSynchronousInvalidateDeviceRelations
        470  1C2 00016649 IoSynchronousPageWrite
        471  1C3 00010427 IoThreadToProcess
        472  1C4 000E3CFF IoUnregisterFileSystem
        473  1C5 0013DBCC IoUnregisterFsRegistrationChange
        474  1C6 001427E5 IoUnregisterPlugPlayNotification
        475  1C7 00185581 IoUnregisterShutdownNotification
        476  1C8 0009B8C7 IoUpdateShareAccess
        477  1C9 00056E61 IoValidateDeviceIoControlAccess
        478  1CA 0013CA5E IoVerifyPartitionTable
        479  1CB 0013DC3C IoVerifyVolume
        480  1CC 0005718A IoVolumeDeviceToDosName
        481  1CD 00166AD2 IoWMIAllocateInstanceIds
        482  1CE 0006E193 IoWMIDeviceObjectToInstanceName
        483  1CF 001670C7 IoWMIExecuteMethod
        484  1D0 00034953 IoWMIHandleToInstanceName
        485  1D1 000CC02A IoWMIOpenBlock
        486  1D2 000FE8A7 IoWMIQueryAllData
        487  1D3 00166E0A IoWMIQueryAllDataMultiple
        488  1D4 000FE28A IoWMIQuerySingleInstance
        489  1D5 00166E8C IoWMIQuerySingleInstanceMultiple
        490  1D6 000D0199 IoWMIRegistrationControl
        491  1D7 000FF08C IoWMISetNotificationCallback
        492  1D8 00166F0F IoWMISetSingleInstance
        493  1D9 00166FE7 IoWMISetSingleItem
        494  1DA 00166BB9 IoWMISuggestInstanceName
        495  1DB 00033565 IoWMIWriteEvent
        496  1DC 00034E21 IoWriteErrorLogEntry
        497  1DD 00080ECC IoWriteOperationCount
         41  1DE 0013B70C IoWritePartitionTable
        498  1DF 0013C946 IoWritePartitionTableEx
        499  1E0 00080EB8 IoWriteTransferCount
         42  1E1 0000C7C5 IofCallDriver
         43  1E2 0000CBF6 IofCompleteRequest
        500  1E3 0007BBC1 KdDebuggerEnabled
        501  1E4 0007BBC0 KdDebuggerNotPresent
        502  1E5 0005AC23 KdDisableDebugger
        503  1E6 0005AC9C KdEnableDebugger
        504  1E7 0007BBC4 KdEnteredDebugger
        505  1E8 0003BB13 KdPollBreakIn
        506  1E9 0005ACF9 KdPowerTransition
        507  1EA 000DFEAB Ke386CallBios
        508  1EB 00038912 Ke386IoSetAccessProcess
        509  1EC 000388BB Ke386QueryIoAccessMap
        510  1ED 00038848 Ke386SetIoAccessMap
         44  1EE 00003644 KeAcquireInStackQueuedSpinLockAtDpcLevel
        511  1EF 0005B292 KeAcquireInterruptSpinLock
        512  1F0 000035D8 KeAcquireSpinLockAtDpcLevel
        513  1F1 000E2589 KeAddSystemServiceTable
        514  1F2 0003F331 KeAreApcsDisabled
        515  1F3 000129B3 KeAttachProcess
        516  1F4 0005C50F KeBugCheck
        517  1F5 0005C533 KeBugCheckEx
        518  1F6 0000DB2F KeCancelTimer
        519  1F7 00057EAF KeCapturePersistentThreadState
        520  1F8 0000C611 KeClearEvent
        521  1F9 000378E8 KeConnectInterrupt
        522  1FA 0007BBD4 KeDcacheFlushCount
        523  1FB 00004F09 KeDelayExecutionThread
        524  1FC 0005B76F KeDeregisterBugCheckCallback
        525  1FD 0005B897 KeDeregisterBugCheckReasonCallback
        526  1FE 00012929 KeDetachProcess
        527  1FF 0003869D KeDisconnectInterrupt
        528  200 0000C849 KeEnterCriticalRegion
        529  201 0005B723 KeEnterKernelDebugger
        530  202 001EBFF0 KeFindConfigurationEntry
        531  203 001D1349 KeFindConfigurationNextEntry
        532  204 00010BED KeFlushEntireTb
        533  205 0017F4B1 KeFlushQueuedDpcs
        534  206 0000366D KeGetCurrentThread
        535  207 00003676 KeGetPreviousMode
        536  208 00032EE8 KeGetRecommendedSharedDataAlignment
        537  209 0005C98C KeI386AbiosCall
        538  20A 0003BC8E KeI386AllocateGdtSelectors
        539  20B 00001DD4 KeI386Call16BitCStyleFunction
        540  20C 00001C30 KeI386Call16BitFunction
        541  20D 0005CA87 KeI386FlatToGdtSelector
        542  20E 0005C7A3 KeI386GetLid
        543  20F 0007BC04 KeI386MachineType
        544  210 0005CA2A KeI386ReleaseGdtSelectors
        545  211 0005C917 KeI386ReleaseLid
        546  212 00185F17 KeI386SetGdtSelector
        547  213 0007BBD8 KeIcacheFlushCount
        548  214 0000E287 KeInitializeApc
        549  215 00032CB1 KeInitializeDeviceQueue
        550  216 0000EA66 KeInitializeDpc
        551  217 0001177C KeInitializeEvent
        552  218 000376D6 KeInitializeInterrupt
        553  219 00020779 KeInitializeMutant
        554  21A 0003E1EB KeInitializeMutex
        555  21B 0002B30A KeInitializeQueue
        556  21C 00012A19 KeInitializeSemaphore
        557  21D 000035C4 KeInitializeSpinLock
        558  21E 00021173 KeInitializeTimer
        559  21F 0002113D KeInitializeTimerEx
        560  220 0000C7FE KeInsertByKeyDeviceQueue
        561  221 0000CE02 KeInsertDeviceQueue
        562  222 0003EF12 KeInsertHeadQueue
        563  223 0000D12D KeInsertQueue
        564  224 0000E411 KeInsertQueueApc
        565  225 0000C8A2 KeInsertQueueDpc
        566  226 00033845 KeIsAttachedProcess
        567  227 00003686 KeIsExecutingDpc
        568  228 0000C85B KeLeaveCriticalRegion
        569  229 0007BBDC KeLoaderBlock
        570  22A 0007BBE0 KeNumberProcessors
        571  22B 0000C462 KeProfileInterrupt
        572  22C 0000C46A KeProfileInterruptWithSource
