Microsoft (R) COFF/PE Dumper Version 8.00.50727.42
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ntkrnlpa.exe
        101   29 0000EB98 CcWaitForCurrentLazyWriterActivity
        102   2A 00086F20 CcZeroData
        103   2B 00088062 CmRegisterCallback
        104   2C 00088134 CmUnRegisterCallback
        105   2D 0004FFBC DbgBreakPoint
        106   2E 0004FFC4 DbgBreakPointWithStatus
        107   2F 000501AC DbgLoadImageSymbols
        108   30 0005024E DbgPrint
        109   31 00050270 DbgPrintEx
        110   32 000500F8 DbgPrintReturnControlC
        111   33 00050166 DbgPrompt
        112   34 0005022C DbgQueryDebugFilterState
        113   35 0005023C DbgSetDebugFilterState
          1   36 0006A9E4 ExAcquireFastMutexUnsafe
        114   37 0005AB5C ExAcquireResourceExclusiveLite
        115   38 0005AC26 ExAcquireResourceSharedLite
          2   39 0012A620 ExAcquireRundownProtection
          3   3A 0012A660 ExAcquireRundownProtectionEx
        116   3B 0005ACE6 ExAcquireSharedStarveExclusive
        117   3C 0005ADA2 ExAcquireSharedWaitForExclusive
        118   3D 00010922 ExAllocateFromPagedLookasideList
        119   3E 0005B930 ExAllocatePool
        120   3F 0005BAF6 ExAllocatePoolWithQuota
        121   40 0005B9B2 ExAllocatePoolWithQuotaTag
        122   41 0006D280 ExAllocatePoolWithTag
        123   42 0005B94E ExAllocatePoolWithTagPriority
        124   43 0005A502 ExConvertExclusiveToSharedLite
        125   44 0012ACFA ExCreateCallback
        126   45 0005C1F4 ExDeleteNPagedLookasideList
        127   46 0005C1F4 ExDeletePagedLookasideList
        128   47 0005A53E ExDeleteResourceLite
        129   48 000837BC ExDesktopObjectType
        130   49 0005A220 ExDisableResourceBoostLite
        131   4A 0012BF32 ExEnumHandleTable
        132   4B 00083740 ExEventObjectType
        133   4C 0005C2EE ExExtendZone
        134   4D 0006D268 ExFreePool
        135   4E 0006CBE6 ExFreePoolWithTag
        136   4F 00010F9C ExFreeToPagedLookasideList
        137   50 0005C7EE ExGetCurrentProcessorCounts
        138   51 0005C7AC ExGetCurrentProcessorCpuUsage
        139   52 0005A59A ExGetExclusiveWaiterCount
        140   53 0004FD26 ExGetPreviousMode
        141   54 0005A5B0 ExGetSharedWaiterCount
        142   55 0005C174 ExInitializeNPagedLookasideList
        143   56 0012B04A ExInitializePagedLookasideList
        144   57 0005A1CC ExInitializeResourceLite
          4   58 0012A5E2 ExInitializeRundownProtection
        145   59 0005C288 ExInitializeZone
        146   5A 0006AB24 ExInterlockedAddLargeInteger
          5   5B 0006AA1C ExInterlockedAddLargeStatistic
        147   5C 0006AB58 ExInterlockedAddUlong
          6   5D 0006AAFC ExInterlockedCompareExchange64
        148   5E 0006AC0C ExInterlockedDecrementLong
        149   5F 0006AC1C ExInterlockedExchangeUlong
        150   60 0005C352 ExInterlockedExtendZone
          7   61 0006A1DC ExInterlockedFlushSList
        151   62 0006ABFC ExInterlockedIncrementLong
        152   63 0006AB6C ExInterlockedInsertHeadList
        153   64 0006AB8C ExInterlockedInsertTailList
        154   65 0006ABD0 ExInterlockedPopEntryList
          8   66 0006A1FC ExInterlockedPopEntrySList
        155   67 0006ABE8 ExInterlockedPushEntryList
          9   68 0006A218 ExInterlockedPushEntrySList
        156   69 0006ABB0 ExInterlockedRemoveHeadList
        157   6A 0005C78C ExIsProcessorFeaturePresent
        158   6B 0005A5C6 ExIsResourceAcquiredExclusiveLite
        159   6C 0005A5F0 ExIsResourceAcquiredSharedLite
        160   6D 0005CDE4 ExLocalTimeToSystemTime
        161   6E 0005BB14 ExNotifyCallback
        162   6F 0005B080 ExQueryPoolBlockSize
        163   70 0005CE34 ExQueueWorkItem
        164   71 00132530 ExRaiseAccessViolation
        165   72 00132540 ExRaiseDatatypeMisalignment
        166   73 0006AE68 ExRaiseException
        167   74 00132730 ExRaiseHardError
        168   75 0006AF20 ExRaiseStatus
         10   76 0012A5EC ExReInitializeRundownProtection
        169   77 0005BBC8 ExRegisterCallback
        170   78 0005AAD2 ExReinitializeResourceLite
         11   79 0006AA04 ExReleaseFastMutexUnsafe
        171   7A 0005A352 ExReleaseResourceForThreadLite
         12   7B 0005A238 ExReleaseResourceLite
         13   7C 0012A6A8 ExReleaseRundownProtection
         14   7D 0012A704 ExReleaseRundownProtectionEx
         15   7E 0012A606 ExRundownCompleted
        172   7F 00083320 ExSemaphoreObjectType
        173   80 0005A482 ExSetResourceOwnerPointer
        174   81 00131656 ExSetTimerResolution
        175   82 00130CE0 ExSystemExceptionFilter
        176   83 0005CDBA ExSystemTimeToLocalTime
        177   84 0005BC68 ExUnregisterCallback
        178   85 00133670 ExUuidCreate
        179   86 0005CD38 ExVerifySuite
         16   87 0012A772 ExWaitForRundownProtectionRelease
        180   88 000837C0 ExWindowStationObjectType
         17   89 0012A822 ExfAcquirePushLockExclusive
         18   8A 0012A8B6 ExfAcquirePushLockShared
         19   8B 0006AA24 ExfInterlockedAddUlong
         20   8C 0006AAE0 ExfInterlockedCompareExchange64
         21   8D 0006AA30 ExfInterlockedInsertHeadList
         22   8E 0006AA48 ExfInterlockedInsertTailList
         23   8F 0006AA7C ExfInterlockedPopEntryList
         24   90 0006AA90 ExfInterlockedPushEntryList
         25   91 0006AA64 ExfInterlockedRemoveHeadList
         26   92 0012A942 ExfReleasePushLock
         27   93 0006AAA8 Exfi386InterlockedDecrementLong
         28   94 0006AAB4 Exfi386InterlockedExchangeUlong
         29   95 0006AA9C Exfi386InterlockedIncrementLong
        181   96 0006AC40 Exi386InterlockedDecrementLong
        182   97 0006AC50 Exi386InterlockedExchangeUlong
        183   98 0006AC30 Exi386InterlockedIncrementLong
        184   99 0008A4C8 FsRtlAcquireFileExclusive
        185   9A 00011658 FsRtlAddLargeMcbEntry
        186   9B 00012092 FsRtlAddMcbEntry
        187   9C 00088658 FsRtlAddToTunnelCache
        188   9D 00012E04 FsRtlAllocateFileLock
        189   9E 00014060 FsRtlAllocatePool
        190   9F 00014092 FsRtlAllocatePoolWithQuota
        191   A0 000140F4 FsRtlAllocatePoolWithQuotaTag
        192   A1 000140C4 FsRtlAllocatePoolWithTag
        193   A2 0008A51E FsRtlAllocateResource
        194   A3 0008A61C FsRtlAreNamesEqual
        195   A4 0008AB24 FsRtlBalanceReads
        196   A5 00012E54 FsRtlCheckLockForReadAccess
        197   A6 00012ED4 FsRtlCheckLockForWriteAccess
        198   A7 00014EAC FsRtlCheckOplock
        199   A8 00089A94 FsRtlCopyRead
        200   A9 00089D50 FsRtlCopyWrite
        201   AA 000154DC FsRtlCreateSectionForDataScan
        202   AB 0008ABB6 FsRtlCurrentBatchOplock
        203   AC 000884C4 FsRtlDeleteKeyFromTunnelCache
        204   AD 00088578 FsRtlDeleteTunnelCache
        205   AE 0008B0EC FsRtlDeregisterUncProvider
        206   AF 0008B58E FsRtlDissectDbcs
        207   B0 0008A53C FsRtlDissectName
        208   B1 0008B632 FsRtlDoesDbcsContainWildCards
        209   B2 0008A5C2 FsRtlDoesNameContainWildCards
        210   B3 000127A8 FsRtlFastCheckLockForRead
        211   B4 0001287E FsRtlFastCheckLockForWrite
        212   B5 00013CAE FsRtlFastUnlockAll
        213   B6 00013CD2 FsRtlFastUnlockAllByKey
        214   B7 000136EA FsRtlFastUnlockSingle
        215   B8 000888A2 FsRtlFindInTunnelCache
        216   B9 00012E30 FsRtlFreeFileLock
        217   BA 00089874 FsRtlGetFileSize
        218   BB 00012490 FsRtlGetNextFileLock
        219   BC 00011150 FsRtlGetNextLargeMcbEntry
        220   BD 000113C6 FsRtlGetNextMcbEntry
        221   BE 00010EE4 FsRtlIncrementCcFastReadNoWait
        222   BF 00089A7C FsRtlIncrementCcFastReadNotPossible
        223   C0 00010EF0 FsRtlIncrementCcFastReadResourceMiss
        224   C1 00089A88 FsRtlIncrementCcFastReadWait
        225   C2 000121F4 FsRtlInitializeFileLock
        226   C3 00011412 FsRtlInitializeLargeMcb
        227   C4 0008A4FE FsRtlInitializeMcb
        228   C5 0008F2A8 FsRtlInitializeOplock
        229   C6 00088482 FsRtlInitializeTunnelCache
        230   C7 0001592C FsRtlInsertPerFileObjectContext
        231   C8 0001584C FsRtlInsertPerStreamContext
        232   C9 0008B69E FsRtlIsDbcsInExpression
        233   CA 0008BAF2 FsRtlIsFatDbcsLegal
        234   CB 0008BCFA FsRtlIsHpfsDbcsLegal
        235   CC 0008AA9C FsRtlIsNameInExpression
        236   CD 0001402C FsRtlIsNtstatusExpected
        237   CE 0001583C FsRtlIsPagingFile
        238   CF 00014124 FsRtlIsTotalDeviceFailure
        239   D0 00000AA0 FsRtlLegalAnsiCharacterArray
        240   D1 00011AF8 FsRtlLookupLargeMcbEntry
        241   D2 00010FCE FsRtlLookupLastLargeMcbEntry
        242   D3 0001106A FsRtlLookupLastLargeMcbEntryAndIndex
        243   D4 00011378 FsRtlLookupLastMcbEntry
        244   D5 00012102 FsRtlLookupMcbEntry
        245   D6 0001570A FsRtlLookupPerFileObjectContext
        246   D7 00015690 FsRtlLookupPerStreamContextInternal
        247   D8 00088BA2 FsRtlMdlRead
        248   D9 00010EFC FsRtlMdlReadComplete
        249   DA 00010A22 FsRtlMdlReadCompleteDev
        250   DB 000889BE FsRtlMdlReadDev
        251   DC 0008A458 FsRtlMdlWriteComplete
        252   DD 00089096 FsRtlMdlWriteCompleteDev
        253   DE 00014150 FsRtlNormalizeNtstatus
        254   DF 0008CC16 FsRtlNotifyChangeDirectory
        255   E0 0008CB1C FsRtlNotifyCleanup
        256   E1 0008C2C6 FsRtlNotifyFilterChangeDirectory
        257   E2 0008C548 FsRtlNotifyFilterReportChange
        258   E3 0008CC46 FsRtlNotifyFullChangeDirectory
        259   E4 0008CCAE FsRtlNotifyFullReportChange
        260   E5 0008C0B4 FsRtlNotifyInitializeSync
        261   E6 0008CC7A FsRtlNotifyReportChange
        262   E7 0008BEEE FsRtlNotifyUninitializeSync
        263   E8 0008CCDE FsRtlNotifyVolumeEvent
        264   E9 00011126 FsRtlNumberOfRunsInLargeMcb
        265   EA 000113B6 FsRtlNumberOfRunsInMcb
        266   EB 0008AE2E FsRtlOplockFsctrl
        267   EC 0008AB92 FsRtlOplockIsFastIoPossible
        268   ED 00015E94 FsRtlPostPagingFileStackOverflow
        269   EE 00015E76 FsRtlPostStackOverflow
        270   EF 00089014 FsRtlPrepareMdlWrite
        271   F0 00088C24 FsRtlPrepareMdlWriteDev
        272   F1 00013CF6 FsRtlPrivateLock
        273   F2 00013F1A FsRtlProcessFileLock
        274   F3 00010A3E FsRtlRegisterFileSystemFilterCallbacks
        275   F4 0008B3A4 FsRtlRegisterUncProvider
        276   F5 000896BA FsRtlReleaseFile
        277   F6 0001215A FsRtlRemoveLargeMcbEntry
        278   F7 000120B6 FsRtlRemoveMcbEntry
        279   F8 0001579A FsRtlRemovePerFileObjectContext
        280   F9 00015896 FsRtlRemovePerStreamContext
        281   FA 00010F66 FsRtlResetLargeMcb
        282   FB 00011BEE FsRtlSplitLargeMcb
        283   FC 0008AB1A FsRtlSyncVolumes
        284   FD 0008BE68 FsRtlTeardownPerStreamContexts
        285   FE 0001151C FsRtlTruncateLargeMcb
        286   FF 00012076 FsRtlTruncateMcb
        287  100 00012CDE FsRtlUninitializeFileLock
        288  101 000114D0 FsRtlUninitializeLargeMcb
        289  102 0008A50E FsRtlUninitializeMcb
        290  103 000142F0 FsRtlUninitializeOplock
        291  104 0006DC38 HalDispatchTable
         30  105 00015EB2 HalExamineMBR
        292  106 0006DC90 HalPrivateDispatchTable
        293  107 0005D134 HeadlessDispatch
        294  108 0001667E InbvAcquireDisplayOwnership
        295  109 000166C4 InbvCheckDisplayOwnership
        296  10A 000164C0 InbvDisplayString
        297  10B 0001629A InbvEnableBootDriver
        298  10C 000162EE InbvEnableDisplayString
        299  10D 000164AA InbvInstallDisplayStringFilter
        300  10E 0001630A InbvIsBootDriverInstalled
        301  10F 00016628 InbvNotifyDisplayOwnershipLost
        302  110 00016316 InbvResetDisplay
        303  111 000166E2 InbvSetScrollRegion
        304  112 00016444 InbvSetTextColor
        305  113 000163BE InbvSolidColorFill
        306  114 00079700 InitSafeBootMode
         31  115 0006AAD4 InterlockedCompareExchange
         32  116 0006AAC8 InterlockedDecrement
         33  117 0006AAB4 InterlockedExchange
         34  118 0006AB18 InterlockedExchangeAdd
         35  119 0006AABC InterlockedIncrement
         36  11A 0006A1FC InterlockedPopEntrySList
         37  11B 0006A21C InterlockedPushEntrySList
        307  11C 00016DE2 IoAcquireCancelSpinLock
        308  11D 0001D71E IoAcquireRemoveLockEx
        309  11E 00016DE2 IoAcquireVpbSpinLock
        310  11F 00079BF0 IoAdapterObjectType
        311  120 00016DFC IoAllocateAdapterChannel
        312  121 00018A90 IoAllocateController
        313  122 00016E30 IoAllocateDriverObjectExtension
        314  123 000198F4 IoAllocateErrorLogEntry
        315  124 00016EE4 IoAllocateIrp
        316  125 00018DD4 IoAllocateMdl
        317  126 00019A00 IoAllocateWorkItem
         38  127 0008E9A4 IoAssignDriveLetters
        318  128 000A186A IoAssignResources
        319  129 00093DA8 IoAttachDevice
        320  12A 00019990 IoAttachDeviceByPointer
        321  12B 0001994A IoAttachDeviceToDeviceStack
        322  12C 00019966 IoAttachDeviceToDeviceStackSafe
        323  12D 00019080 IoBuildAsynchronousFsdRequest
        324  12E 000191C0 IoBuildDeviceIoControlRequest
        325  12F 00016EF6 IoBuildPartialMdl
        326  130 000193C0 IoBuildSynchronousFsdRequest
        327  131 000183A0 IoCallDriver
        328  132 000925CA IoCancelFileOpen
        329  133 00019422 IoCancelIrp
        330  134 000909F4 IoCheckDesiredAccess
        331  135 00090A26 IoCheckEaBufferValidity
        332  136 00090A8E IoCheckFunctionAccess
        333  137 00016FF6 IoCheckQuerySetFileInformation
        334  138 00017038 IoCheckQuerySetVolumeInformation
        335  139 00090BE8 IoCheckQuotaBufferValidity
        336  13A 00090C68 IoCheckShareAccess
        337  13B 000183BA IoCompleteRequest
        338  13C 00092AE8 IoConnectInterrupt
        339  13D 00090D70 IoCreateController
        340  13E 00092C5E IoCreateDevice
        341  13F 00090766 IoCreateDisk
        342  140 00092760 IoCreateDriver
        343  141 00093C9A IoCreateFile
        344  142 00093D4C IoCreateFileSpecifyDeviceObjectHint
        345  143 00090E76 IoCreateNotificationEvent
        346  144 00093504 IoCreateStreamFileObject
        347  145 000170D2 IoCreateStreamFileObjectEx
        348  146 00090EEE IoCreateStreamFileObjectLite
        349  147 00090FC6 IoCreateSymbolicLink
        350  148 00091022 IoCreateSynchronizationEvent
        351  149 0009109A IoCreateUnprotectedSymbolicLink
        352  14A 00019A34 IoCsqInitialize
        353  14B 00019AD8 IoCsqInsertIrp
        354  14C 00019BDC IoCsqRemoveIrp
        355  14D 00019B70 IoCsqRemoveNextIrp
        356  14E 000910F2 IoDeleteController
        357  14F 00019776 IoDeleteDevice
        358  150 000910F2 IoDeleteDriver
        359  151 0009133A IoDeleteSymbolicLink
        360  152 00017224 IoDetachDevice
        361  153 00079BD4 IoDeviceHandlerObjectSize
        362  154 00079BDC IoDeviceHandlerObjectType
        363  155 00079BE4 IoDeviceObjectType
        364  156 000913BA IoDisconnectInterrupt
        365  157 00079BE0 IoDriverObjectType
        366  158 000913FA IoEnqueueIrp
        367  159 000186C0 IoEnumerateDeviceObjectList
        368  15A 000929CE IoEnumerateRegisteredFiltersList
        369  15B 00091438 IoFastQueryNetworkAttributes
        370  15C 00079BD8 IoFileObjectType
        371  15D 000A2656 IoForwardAndCatchIrp
        372  15E 000A2656 IoForwardIrpSynchronously
        373  15F 00017288 IoFreeController
        374  160 00018BA0 IoFreeErrorLogEntry
        375  161 000172BE IoFreeIrp
        376  162 000173CE IoFreeMdl
        377  163 000199B8 IoFreeWorkItem
        378  164 00017446 IoGetAttachedDevice
        379  165 00017462 IoGetAttachedDeviceReference
        380  166 00017498 IoGetBaseFileSystemDeviceObject
        381  167 00093626 IoGetBootDiskInformation
        382  168 00091518 IoGetConfigurationInformation
        383  169 000174D2 IoGetCurrentProcess
        384  16A 00018736 IoGetDeviceAttachmentBaseRef
        385  16B 000A57A0 IoGetDeviceInterfaceAlias
        386  16C 000A5326 IoGetDeviceInterfaces
        387  16D 00093520 IoGetDeviceObjectPointer
        388  16E 000A3ADA IoGetDeviceProperty
        389  16F 000174E2 IoGetDeviceToVerify
        390  170 0001876C IoGetDiskDeviceObject
        391  171 000A4174 IoGetDmaAdapter
        392  172 000174FA IoGetDriverObjectExtension
        393  173 00091524 IoGetFileObjectGenericMapping
        394  174 0001753C IoGetInitialStack
        395  175 0001867A IoGetLowerDeviceObject
        396  176 00017588 IoGetRelatedDeviceObject
        397  177 000175F8 IoGetRequestorProcess
        398  178 000197FC IoGetRequestorProcessId
        399  179 000183D4 IoGetRequestorSessionId
        400  17A 0006AE40 IoGetStackLimits
        401  17B 00017618 IoGetTopLevelIrp
        402  17C 0001762A IoInitializeIrp
        403  17D 000A1790 IoInitializeRemoveLockEx
        404  17E 00091530 IoInitializeTimer
        405  17F 0001D8A8 IoInvalidateDeviceRelations
        406  180 0001D90E IoInvalidateDeviceState
        407  181 0001893E IoIsFileOriginRemote
        408  182 00017738 IoIsOperationSynchronous
        409  183 0004FC9C IoIsSystemThread
        410  184 000915AC IoIsValidNameGraftingBuffer
        411  185 000A1D7C IoIsWdmVersionAvailable
        412  186 0001776C IoMakeAssociatedIrp
        413  187 000A5FC2 IoOpenDeviceInterfaceRegistryKey
        414  188 000A3F9C IoOpenDeviceRegistryKey
        415  189 000179BA IoPageRead
        416  18A 000A6D32 IoPnPDeliverServicePowerNotification
        417  18B 00094B78 IoQueryDeviceDescription
        418  18C 000926D4 IoQueryFileDosDeviceName
        419  18D 00091A9A IoQueryFileInformation
        420  18E 00091ABE IoQueryVolumeInformation
        421  18F 000179DE IoQueueThreadIrp
        422  190 000199D0 IoQueueWorkItem
        423  191 00017AB0 IoRaiseHardError
        424  192 00017B9E IoRaiseInformationalHardError
        425  193 0001614E IoReadDiskSignature
        426  194 00079BD0 IoReadOperationCount
         39  195 0008E070 IoReadPartitionTable
        427  196 0009050C IoReadPartitionTableEx
        428  197 00079BC0 IoReadTransferCount
        429  198 00091AE2 IoRegisterBootDriverReinitialization
        430  199 000A6068 IoRegisterDeviceInterface
        431  19A 00091B24 IoRegisterDriverReinitialization
        432  19B 00091B66 IoRegisterFileSystem
        433  19C 00091C56 IoRegisterFsRegistrationChange
        434  19D 00091D68 IoRegisterLastChanceShutdownNotification
        435  19E 000A7612 IoRegisterPlugPlayNotification
        436  19F 00091DB4 IoRegisterShutdownNotification
        437  1A0 00017DF6 IoReleaseCancelSpinLock
        438  1A1 000A1810 IoReleaseRemoveLockAndWaitEx
        439  1A2 0001D7D8 IoReleaseRemoveLockEx
        440  1A3 00017DF6 IoReleaseVpbSpinLock
        441  1A4 00091E00 IoRemoveShareAccess
        442  1A5 000A2A0A IoReportDetectedDevice
        443  1A6 001B0346 IoReportHalResourceUsage
        444  1A7 000A7FAA IoReportResourceForDetection
        445  1A8 000A8152 IoReportResourceUsage
        446  1A9 000A704E IoReportTargetDeviceChange
        447  1AA 0001DAFC IoReportTargetDeviceChangeAsynchronous
        448  1AB 0001DA04 IoRequestDeviceEject
        449  1AC 000176A8 IoReuseIrp
        450  1AD 0001860C IoSetCompletionRoutineEx
        451  1AE 000A5F2C IoSetDeviceInterfaceState
        452  1AF 00017E0E IoSetDeviceToVerify
        453  1B0 00018958 IoSetFileOrigin
        454  1B1 00017E28 IoSetHardErrorOrVerifyDevice
        455  1B2 00091E64 IoSetInformation
        456  1B3 00094EEA IoSetIoCompletion
         40  1B4 0008D700 IoSetPartitionInformation
        457  1B5 000907B8 IoSetPartitionInformationEx
        458  1B6 00092124 IoSetShareAccess
        459  1B7 00018180 IoSetStartIoAttributes
        460  1B8 0001880A IoSetSystemPartition
        461  1B9 00017E4A IoSetThreadHardErrorMode
        462  1BA 00017E82 IoSetTopLevelIrp
        463  1BB 000180F8 IoStartNextPacket
        464  1BC 0001813A IoStartNextPacketByKey
        465  1BD 00017F86 IoStartPacket
        466  1BE 000181B2 IoStartTimer
        467  1BF 00073148 IoStatisticsLock
        468  1C0 000181E8 IoStopTimer
        469  1C1 000A1A1E IoSynchronousInvalidateDeviceRelations
        470  1C2 00018210 IoSynchronousPageWrite
        471  1C3 000182CC IoThreadToProcess
        472  1C4 000921EC IoUnregisterFileSystem
        473  1C5 00092256 IoUnregisterFsRegistrationChange
        474  1C6 000A6EE4 IoUnregisterPlugPlayNotification
        475  1C7 0016670E IoUnregisterShutdownNotification
        476  1C8 000922BA IoUpdateShareAccess
        477  1C9 00018A3A IoValidateDeviceIoControlAccess
        478  1CA 00090582 IoVerifyPartitionTable
        479  1CB 0009231E IoVerifyVolume
        480  1CC 00019C78 IoVolumeDeviceToDosName
        481  1CD 0011CC56 IoWMIAllocateInstanceIds
        482  1CE 00059F86 IoWMIDeviceObjectToInstanceName
        483  1CF 0011D51C IoWMIExecuteMethod
        484  1D0 00059F64 IoWMIHandleToInstanceName
        485  1D1 0011CFF4 IoWMIOpenBlock
        486  1D2 0011D0FE IoWMIQueryAllData
        487  1D3 0011D192 IoWMIQueryAllDataMultiple
        488  1D4 0011D20A IoWMIQuerySingleInstance
        489  1D5 0011D2F2 IoWMIQuerySingleInstanceMultiple
        490  1D6 0011CB5C IoWMIRegistrationControl
        491  1D7 0011D64A IoWMISetNotificationCallback
        492  1D8 0011D370 IoWMISetSingleInstance
        493  1D9 0011D442 IoWMISetSingleItem
        494  1DA 0011CD42 IoWMISuggestInstanceName
        495  1DB 00059DB8 IoWMIWriteEvent
        496  1DC 000182E4 IoWriteErrorLogEntry
        497  1DD 00079BCC IoWriteOperationCount
         41  1DE 0008D95E IoWritePartitionTable
        498  1DF 000903FE IoWritePartitionTableEx
        499  1E0 00079BB8 IoWriteTransferCount
         42  1E1 00016FEA IofCallDriver
         43  1E2 0001707A IofCompleteRequest
        500  1E3 000748C1 KdDebuggerEnabled
        501  1E4 000748C0 KdDebuggerNotPresent
        502  1E5 0001F602 KdDisableDebugger
        503  1E6 0001F676 KdEnableDebugger
        504  1E7 000748C4 KdEnteredDebugger
        505  1E8 0001F754 KdPollBreakIn
        506  1E9 0001F6CE KdPowerTransition
        507  1EA 000BE8DE Ke386CallBios
        508  1EB 00020084 Ke386IoSetAccessProcess
        509  1EC 00020022 Ke386QueryIoAccessMap
        510  1ED 0001FFAE Ke386SetIoAccessMap
         44  1EE 00064F00 KeAcquireInStackQueuedSpinLockAtDpcLevel
        511  1EF 0002015E KeAcquireInterruptSpinLock
        512  1F0 00064E94 KeAcquireSpinLockAtDpcLevel
        513  1F1 000BE7E8 KeAddSystemServiceTable
        514  1F2 0001FD9A KeAreApcsDisabled
        515  1F3 00020706 KeAttachProcess
        516  1F4 00021AB6 KeBugCheck
        517  1F5 00021AD4 KeBugCheckEx
        518  1F6 00021BFC KeCancelTimer
        519  1F7 0001A9F0 KeCapturePersistentThreadState
        520  1F8 00021AF8 KeClearEvent
        521  1F9 00022230 KeConnectInterrupt
        522  1FA 000748D4 KeDcacheFlushCount
        523  1FB 00022424 KeDelayExecutionThread
        524  1FC 00020C68 KeDeregisterBugCheckCallback
        525  1FD 00020DF2 KeDeregisterBugCheckReasonCallback
        526  1FE 000203CA KeDetachProcess
        527  1FF 00022186 KeDisconnectInterrupt
        528  200 0001FD46 KeEnterCriticalRegion
        529  201 00020C22 KeEnterKernelDebugger
        530  202 001B75CC KeFindConfigurationEntry
        531  203 001B74FE KeFindConfigurationNextEntry
        532  204 00022D0E KeFlushEntireTb
        533  205 000BEBBC KeFlushQueuedDpcs
        534  206 000692B8 KeGetCurrentThread
        535  207 000692C0 KeGetPreviousMode
        536  208 0001FD3A KeGetRecommendedSharedDataAlignment
        537  209 0002319A KeI386AbiosCall
        538  20A 0002322E KeI386AllocateGdtSelectors
        539  20B 00023784 KeI386Call16BitCStyleFunction
        540  20C 000235E0 KeI386Call16BitFunction
        541  20D 000232EC KeI386FlatToGdtSelector
        542  20E 00022FC0 KeI386GetLid
        543  20F 00074904 KeI386MachineType
        544  210 00023294 KeI386ReleaseGdtSelectors
        545  211 0002312A KeI386ReleaseLid
        546  212 0016735A KeI386SetGdtSelector
        547  213 000748D8 KeIcacheFlushCount
        548  214 00023896 KeInitializeApc
        549  215 00023A2E KeInitializeDeviceQueue
        550  216 00022D3C KeInitializeDpc
        551  217 00021D70 KeInitializeEvent
        552  218 00021F36 KeInitializeInterrupt
        553  219 00023C8A KeInitializeMutant
        554  21A 00023CF8 KeInitializeMutex
        555  21B 00023EAE KeInitializeQueue
        556  21C 00024326 KeInitializeSemaphore
        557  21D 00064E80 KeInitializeSpinLock
        558  21E 00021CF8 KeInitializeTimer
        559  21F 00021BC6 KeInitializeTimerEx
        560  220 00023AB4 KeInsertByKeyDeviceQueue
        561  221 00023A62 KeInsertDeviceQueue
        562  222 000242F4 KeInsertHeadQueue
        563  223 000242C2 KeInsertQueue
        564  224 000238F8 KeInsertQueueApc
        565  225 00022DA8 KeInsertQueueDpc
        566  226 0001FD80 KeIsAttachedProcess
        567  227 000692D0 KeIsExecutingDpc
        568  228 0001FD58 KeLeaveCriticalRegion
        569  229 000748DC KeLoaderBlock
        570  22A 000748E0 KeNumberProcessors
        571  22B 000695CC KeProfileInterrupt
        572  22C 000695D4 KeProfileInterruptWithSource
        573  22D 00021D9A KePulseEvent
        574  22E 000BE8D2 KeQueryActiveProcessors
        575  22F 0001FBE4 KeQueryInterruptTime
